,Quote,Author,Main Tag,Other Tags
2225,"“And here's to the blues, the real blues— where there's a hint of hope in every cry of desperation.”","― David Mutti Clark, Professor Brown Shoes Teaches the Blues",truth,"[' blues, griot, music, race-relations, spirituality, troubadour, truth']"
2226,“Spiritually is finding the truth in you.”,― Wes Adamson,truth,"[' inner-peace, inner-self, inner-strength, spiritually, truth']"
2227,"“Truthfully, wicked people reveal themselves in words first, to inhibit speech would inhibit us seeing the wicked before they act.”","― Leviak B. Kelly, Religion: The Ultimate STD: Living a Spiritual Life without Dogmatics or Cultural Destruction",truth,"[' free-speech, true-colors, truth']"
2228,"“Share your love, share you happiness, care for others; your wealth will be endless.”",― Debasish Mridha,truth,"[' care, education, endless, happiness, hope, inspirational, intelligence, knowledge, life, love, philosophy, share, truth, wealth, wisdom']"
2229,“The secret of happiness is love and secret of love is nonjudgmental care.”,― Debasish Mridha,truth,"[' care, education, happiness, hope, inspirational, intelligence, knowledge, life, love, nonjudgmental, philosophy, secret, truth, wisdom']"
2230,"“The word of God came down to man as rain to soil, and the result was mud, not clear water. (Bistami) Pg. 128”","― Kim Stanley Robinson, The Years of Rice and Salt",truth,"[' interpretation, missunderstanding, truth']"
2231,"“They will say that I, having no literary skill, cannot properly express that which I desire to treat of, but they do not know that my subjects are to be dealt with by experience rather than by words. And [experience] has been the mistress of those who wrote well. And so, as mistress, I will cite her in all cases. Though I may not, like them, be able to quote other authors, I shall rely on that which is much greater and more worthy: on experience, the mistress of their masters.”",― Leonardo Da Vinci Reproductions,truth,"[' inspirational, philosophy, truth']"
2232,“Fat men take a cushion with them wherever they go.”,"― George R.R. Martin, A Feast for Crows",truth,"[' funny, hilarious, humour, humourous, truth']"
2233,“See with the eyes of love and a thing becomes beautiful. See with the eyes of hate and things are ugly.”,"― Joy Cowley, Starbright and the Dream Eater",truth,"[' feel-good, love, truth, wisdom']"
2234,"“This is the strange thing about life, when people are confronted, they all say that the truth is what they want but when the truth disagrees with them, they balk at it as if it were an unwanted zombie apocalypse that only wants to destroy civilization.”","― Leviak B. Kelly, Religion: The Ultimate STD: Living a Spiritual Life without Dogmatics or Cultural Destruction",truth,"[' life, truth, zombie-apocalypse']"
