,Quote,Author,Main Tag,Other Tags
394,"“She was an idiot. An adorable, gorgeous, feisty, funny, sweet, sexy idiot.”","― Sarah Mayberry, Her Best Friend",romance,"[' contemporary-romance, funny, humour, romance']"
395,"“It was heartfelt, it was heartbreaking. It was extreme joy, it was bone-crushing grief. It was fiery hot, it was icy-cold. It was true love sprouting... it was true love dying.",,romance,"[' romance, teen-angst']"
396,“Do you think we can be friends?” I asked.,"He stared up at the ceiling. “Probably not, but we can pretend.”",romance,"[' action, adventure, arthurian, arthurian-collection, camelot, coming-of-age, fairy-tales, fantasy, fiction, greek-mythology, history, love, magic, merlin, mermaid, mythology, novel, paranormal, paranormal-romance, poseidon, retellings, romance, sea-creatures, sword, sword-and-sorcery, teen, time-travel, urban-fantasy, wizards, women-s-fiction, ya, ya-fantasy, ya-paranormal, ya-romance, young-adult']"
397,"“We looked at each other for a minute, not saying anything, but I could feel the air between us shift. It became thick, sultry, and tangible—like when the air changes right before a storm. I could feel its power envelop me as it brushed across my skin. Even though I couldn’t see it, I knew a storm was coming.”","― Colleen Houck, Tiger's Curse",romance,"[' love, romance']"
398,“Listen carefully. I'd crush you like a bug for causing my wife one single moment of pain. Believe it. Fear it. ”,― (Roarke)J.D. Robb,romance,"[' futuristic, mystery, romance, suspense']"
399,“I can't imagine a romance novel published today where the hero rapes the heroine and she falls in love with him.”,― Julia Quinn,romance,"[' romance, writing']"
400,"“Everything about Andrew was hot, from the hands holding him down to the mouth steadily taking Neil apart. Neil finally understood why his mother thought this was so dangerous.”","― Nora Sakavic, The King's Men",romance,"[' all-for-the-game, lgbtq, romance, the-foxhole-court']"
401,"“What made me run away was doubtless not so much the fear of settling down, but of settling down permanently in something ugly.”",― Albert Camus,romance,"[' life, love, romance']"
402,"“Three years? That's a thousand tomorrows, ma'am.”",― Karen Kingsbury,romance,"[' believing, bull-rider, cf, grief, horses, karen, kingsbury, love, romance, thousand, tomorrows']"
403,"“It wasn't a thing I had consciously missed, but having it now reminded me of the joy of it; that drowsy intimacy in which a man's body is accessible to you as your own, the strange shapes and textures of it like a sudden extension of your own limbs.”","― Diana Gabaldon, Voyager",romance,"[' intimacy, love, romance']"
404,"“I could feel the warmth of his presence as if a soft blanket had been wrapped around my soul, around my heart. It held me and protected me. It sheltered me and I knew I wasn’t alone anymore.”",― Colleen Houck,romance,"[' love, romance']"
405,"“He put the knuckles of his fist to the table, leaned toward Niles and spoke quietly, cuttingly, in his rough, gravelly voice.",,romance,"[' alpha-male, max, romance, taunt']"
406,"“The cord pulled taut and she rebounded, flying back up before falling again. As her velocity slowed, she opened her eyes and found herself dangling at the end of the cord, about five feet above Jace. He was grinning.","""Nice,"" he said. ""As graceful as a falling snowflake.""",romance,"[' cassandra-clare, city-of-fallen-angels, clary-fray, funny, humor, jace-wayland, love, romance, sweet, the-mortal-instruments']"
407,"“If I say your voice is an amber waterfall in which I yearn to burn each day, if you eat my mouth like a mystical rose with powers of healing and damnation, If I confess that your body is the only civilization I long to experience… would it mean that we are close to knowing something about love?”","― Aberjhani, Visions of a Skylark Dressed in Black",romance,"[' famous-quotations, famous-quotes, love, mysticism, passion, poetry, quotes-about-love, relationships, romance, roses, spirituality, valentine-s-day']"
408,"“How come when mortals want things, their only option is to make a deal with Hell and sell their soul? Why can’t they make deals with God in exchange for good behavior?""",,romance,"[' angels, fiction, georgina, god, paranormal, romance, succubus, supernatural']"
409,"“You've maddened me for you...have changed everything. So, I'm going to f*ck you long and hard, beauty, because if I'm to be enslaved by you-I want to be your master as well. ”","― Kresley Cole, Pleasure of a Dark Prince",romance,"[' immortals-after-dark, lore, paranormal, romance']"
410,"“What he did to my heart was sheer, inexplicable, magic.”","― Wendelin Van Draanen, Flipped",romance,"[' bryce-loski, juli-baker, romance']"
411,"“She threw up her hands. ""All right. Why not?""",,romance,"[' comedy, contemporary, romance, sep, susan-elizabeth-phillips']"
412,"“Yes, men are pigs. Except your brother, of course. He's actually a decent human being. Almost a woman.",,romance,"[' humor, men, romance']"
413,"“Life is fragile and temporary. The faces of today quickly become the faces of the past. Sorrow, pain, and anger... it all fades-","except love. Love is forever and there after, even when we've fallen to our graves.”",romance,"[' death, inspirational, lee-argus, life, love, qoutes-to-live-by, quote, romance']"
414,"“I’m not the kind of man to bottle up my feelings, Kells. I don’t sit up in my room pining away, writing love poems. I’m not a dreamer. I’m a fighter. I’m a man of action, and it will take all of my self-control not to fight for this. When something needs to be done, I do it. When I feel something, I act on it. I don’t see any reason why Ren deserves to get the girl of his dreams and I don’t. It doesn’t seem fair that this happens to me twice.”",― Colleen Houck,romance,"[' love, romance']"
415,"“How do I love thee? wondered Orion. ""Let me see. I love thee passionately and eternally...obviously eternally-that goes without saying."" Holly blinked sweat from her eyes. ""Is he serious?"" she called over her shoulder to Foaly. ""Oh, absolutely,"" said the centaur ""If he asks you to look for birthmarks, say no immediately."" ""Oh, I would never."" Orion assured her. ""Ladies don't look for birthmarks; that is work for jolly fellows like the Goodly Beast and myself. Ladies, like Miss Short, do enough by simply existing. They exude beauty, and that is enough."" ""I am not exuding anything."" said Holly, through gritted teeth. Orion tapped her shoulder. ""I beg to differ. You're exuding right now, a wonderful aura. It's pastel blue with little dolphins."" Holly gripped the wheel tightly. ""I'm going to be sick. Did he just say pastel blue?"" ""And dolphins, little ones,"" said Foaly.”","― Eoin Colfer, The Atlantis Complex",romance,"[' atlantis-complex, foaly, holly, orion, romance']"
416,"“I'm afraid they're in love,"" he said, concerned. ""They don't want to leave you."" He lifted one hand from her waist to gently brush a pair from her neck, where their wings fanned against her jaw. Melancholy, he said, ""I know just how they feel.”","― Laini Taylor, Daughter of Smoke & Bone",romance,"[' akiva, love, romance']"
417,"“I felt overwhelmed. I didn’t expect a first kiss to be so…life altering. In a few brief moments, the rule book of my universe had been rewritten. Suddenly I was a brand new person. I was as fragile as a newborn, but instead of the doctor placing me in my mother’s arms, he’d put me in Ren’s. What would Ren do with me? Would he draw me near, soothe me, and teach me about this new world or would he reject me and tell the doctor there must be some mistake. There was no way to know. What a breakable and delicate thing a heart was, no wonder I’d kept mine locked away.”",― Colleen Houck,romance,"[' love, romance']"
418,"“He studied my appearance carefully. “You cut your hair.” “Yes. Do you like it?” “That depends. How long is it?” I pulled a curl down and showed him it ended just past my shoulder. He grunted, “That’s still long enough, so I like it.” “Long enough for what?” “Long enough for a man to run his hands through.”",― Colleen Houck,romance,"[' humor, love, romance']"
419,“But this girl...she doesn’t feel pointless. She’s real and she’s beautiful and she fits perfectly when she’s in my arms. She makes me want to feel.”,"― Monica Murphy, One Week Girlfriend",romance,"[' love, new-adult, new-adult-romance, romance']"
420,"“We're taught that in life, we should try to look on the bright side. Not in this case. In this case, assume rejection first. Assume you're the rule, not the exception. It's liberating. But we also know it's not an easy concept. -He's not just into you”",― Greg Behrendt,romance,"[' dating, greg-behrendt, he-s-not-just-into-you, humor, humour, love, marriage, romance, truth']"
421,"“They don't fit you?"" V asked his roommate.","""Not the point. No offense, but these are wicked Village People."" Butch held his heavy arms out and turned in a circle, his bare chest catching the light. ""I mean, come on.""",romance,"[' black-dagger-brotherhood, butch-vishous, humor, paranormal-romance, romance, vishous-vampire']"
422,"“My life before him was so simple and decided, now after him...It's just...After.”","― Anna Todd, After",romance,"[' after, angsty-love, chaos, fucked-up, mess, romance, tessa-young']"
423,"“I bare my soul and you are suspicious! No, Scarlett, this is a bona fide honorable declaration. I admit that it's not in the best of taste, coming at this time, but I have a very good excuse for my lack of breeding. I'm going away tomorrow for a long time and I fear that if I wait till I return you'll have married some one else with a little money. So I thought, why not me and my money? Really, Scarlett, I can't go all my life waiting to catch you between husbands. ”","― Margaret Mitchell, Gone with the Wind",romance,"[' gone-with-the-wind, hurmor, margaret-mitchell, rhett, romance, scarlett']"
424,"“The entire time I'm burning in Hell, I'll regret each tear I made you weep. But if Hell were the price for twenty days with you, I'd condemn myself again and again.",,romance,"[' highlanders, kmm, romance']"
425,"“It suddenly made sense. Only twice in his life had he felt this inexplicable, almost mystical attraction to a woman. He’d thought it remarkable, to have found two, when in his heart he’d always believed there was only one perfect woman out there for him.",,romance,"[' bridgertons, colin, happy-ever-after, love, romance, soulmates']"
426,"“I didn't want to give you the one last part of myself that I couldn't take back. And then you were gone... And I realized it was already yours. It had been since the beginning. Except that I hadn't told you. It drove me mad, the thought that you would never know.”","― Lisa Kleypas, Dreaming of You",romance,[' romance']
427,"“I am asking you to marry me because I love you,” he said, “because I cannot imagine living my life without you. I want to see your face in the morning, and then at night, and a hundred times in between. I want to grow old with you, I want to laugh with you, and I want to sigh to my friends about how managing you are, all the while secretly knowing I am the luckiest man in town.”",,romance,"[' confession, love-speech, romance, sweet']"
428,"“He shook his head, staring at her like a condemned man who beheld the face of his executioner. ""Aline,"" he whispered, ""Do you know what hell is?""",,romance,"[' historical, lisa-kleypas, mckenna, romance']"
429,"“Once she kissed me, my heart slowed, and every muscle in my body relaxed. How much I needed her terrified me. -pg 252/ARC”","― Jamie McGuire, Walking Disaster",romance,"[' kissing, romance, tvavis-maddox']"
430,"“I don't want just a night or a week or a month with you. I want you all the time. I like you better than calculus, and math is the only thing that unites the universe.”","― Helen Hoang, The Kiss Quotient",romance,"[' contemporary-fiction, contemporary-romance, romance, romcom']"
431,"“Hush Hattie!"" I said, intoxicated with my success. ""I don't want to go to my room. Everyone must know I shan't marry the prince."" I ran to the door to our street, opened it, and called out into the night, ""I shan't marry the prince."" I turned back into the hall and ran to Char and threw my arms about his neck. ""I shan't marry you."" I kissed his cheek. He was safe from me.”","― Gail Carson Levine, Ella Enchanted",romance,"[' humor, romance']"
432,"“She wanted to go over and hug his tears away, but she was too frightened.”","― Steven Spielberg, Close Encounters of the Third Kind",romance,[' romance']
433,"“You think I'd cheat on you?"" I demanded with all the innocent outrage I could muster.",,romance,"[' comedy, humor, romance']"
434,“What d'you suppose I care if I'm a gentleman or not? If I were a gentleman I shouldn't waste my time with a vulgar slut like you.”,"― W. Somerset Maugham, Of Human Bondage",romance,"[' gentleman, romance, sluts, women']"
435,"“She'll be back,"" Ranger said. ""But not tonight.""","[Stephanie] ""How'd you get her to leave?""",romance,"[' humor, ranger, romance']"
436,"“She understood him. He could not forgive her,-but he could not be unfeeling. Though condemning her for the past, and considering it with high and unjest resentment, though perfectly careless of her, and though becoming attached to another, still he could not see her suffer, without the desire of giving her relief. It was a remainder of former sentiment; it was an impuse of pure, though unacknowledged friendship; it was a proof of his own warm and amiable heart, which she could not contemplate without emotions so compounded of pleasure and pain, that she knew not which prevailed.”","― Jane Austen, Persuasion",romance,[' romance']
437,“What business had I to think of one that never thought of me?”,"― Anne Brontë, Agnes Grey",romance,"[' agnes-grey, love, romance, thoughts']"
438,“Roarke: The bodies of the three men were found floating in the Chattahoochee River.,,romance,"[' futuristic, mystery, romance, suspense']"
439,"“Wow. I didn’t think it was possible for him to look any more intoxicating than he already did. But a leather clad Ren standing next to the gorgeous racing motorcycle holding his helmet made my brain go numb. I had kind of a this-is-your-brain-on-drugs moment, only mine was more like a this-is-your-brain-on-seeing-Ren-in-tight-leather moment. If they’d been smart, the Ducati Company should have used him in a commercial and given him the bike for free.”",― Colleen Houck,romance,"[' humor, love, romance']"
440,"“Smiling, I cut across the quadrangle toward the commons. I felt better about life than I had in a very long time. We could do this, Lissa and me. We could do this together.”","― Richelle Mead, Vampire Academy",romance,"[' fiction, romance']"
441,"“Not one fuckin’ thing gentlemanly about protecting what’s yours. Looks like you’re gonna lose it, you do everything you can to stop that from happening.” Max looked back to Niles. “And you didn’t do that. She was a week away from me, she walked into a room I was in holdin’ another man’s hand, I’d lose my fuckin’ mind. Not at her. Wonderin’ where I lost my way and I’d talk to her about how to find my way back.”","― Kristen Ashley, The Gamble",romance,"[' alpha-male, max, romance']"
442,"“Because we all need to believe in movies, sometimes.”","― pleasefindthis, I Wrote This For You",romance,"[' movies, romance']"
443,“I’m writing this because you begged. You know how I love the begging”,"― CJ Roberts, Epilogue",romance,"[' caleb, chapter-one, dark, epilogue, livvie, romance']"
444,"“Those freckles make you seem like a galaxy of stars, just waiting to be explored and loved.”",― Nikita Gill,romance,"[' freckles, galaxy, love, love-quotes, romance, stars']"
445,"“For a second, fire flared inside of him, not like mine, but the fire of a man about to lose control.”","― M. R. Noble, Karolina Dalca, Dark Eyes",romance,"[' avenger, dark-magic, falsely-accused, fantasy, magical-world, mythical-creatures, on-the-run, romance, underworld, vampires']"
446,"“And blood and tears and screams did not matter anymore, because at least they are together.”","― Amie Kaufman, Gemina",romance,"[' hanna-donnelly, nik-malikov, romance']"
447,"“Don't answer the door in a wedding dress and veil, he might not think you're joking.”","― Amy Sedaris, I Like You: Hospitality Under the Influence",romance,"[' dates, jokes, relationships, romance']"
